id,name_en,name_fr,faction,frame_color,copies,time_cost,type,effect_en,effect_fr,cares_about_tags,notes,artwork_url
knife_skills,Knife Skills,Coup de couteau,Neutral,#7A7A72,3,3,Technique,"Choose a starter card you played this turn. If it is Prep, gain 2 Time. If it is Simple Soup, it gets +2 Taste this turn.","Choisissez une carte de depart que vous avez jouee ce tour-ci. Si c'est Preparation, gagnez 2 Temps. Si c'est Soupe simple, elle gagne +2 Gout ce tour-ci.",,Core compression.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/knife_skills.png
clean_station,Clean Station,Plan de travail propre,Neutral,#7A7A72,2,3,Technique,Choose one - Peel up to 2 starter cards; or Peel Clean Station.,Choisissez une option - Epluchez jusqu'a 2 cartes de depart; ou Epluchez Plan de travail propre.,,Self-cleans once starter cards are gone.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/clean_station.png
taste_test,Taste Test,Degustation,Neutral,#7A7A72,3,2,Technique,"Draw 3 then discard 1. If the discarded card is a starter card or Status, you may Peel it.","Piochez 3 puis defaussez 1. Si la carte defaussee est une carte de depart ou un Statut, vous pouvez l'Eplucher.",,Core smoothing pushed for v2.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/taste_test.png
heckle,Heckle,Provocation,Neutral,#7A7A72,2,5,Technique,"Each opponent gains a Distraction. If there is only one opponent, they gain 2 Distractions instead.","Chaque adversaire gagne une Distraction. S'il n'y a qu'un adversaire, il gagne 2 Distractions a la place.",,Simple status attack scaled for multiplayer.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/heckle.png
perfect,Perfect,Parfait,French,#2F5DA8,2,4,Technique,Choose a Dish. Double its Taste this turn.,Choisissez un plat. Doublez son Gout ce tour-ci.,,French one-perfect-dish moment.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/perfect.png
mock,Mock,Moquerie,French,#2F5DA8,2,3,Reaction,Choose an opponent's highest-Taste presented dish. It gets -2 Taste this turn. Draw 1.,Choisissez le plat presente avec le plus de Gout chez un adversaire. Il gagne -2 Gout ce tour-ci. Piochez 1.,,French critique interaction.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mock.png
drown_in_butter,Drown in Butter,Noyer dans le beurre,French,#2F5DA8,2,3,Reaction,Choose an opponent's presented dish. If it is not French it gets -3 Taste this turn and its owner gains Food Coma.,Choisissez un plat adverse presente. S'il n'est pas Francais il gagne -3 Gout ce tour-ci et son proprietaire gagne Coma alimentaire.,,Butter as hostile excess and status pressure.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/drown_in_butter.png
mine_is_better,Mine Is Better,Le mien est meilleur,French,#2F5DA8,1,4,Reaction,Reveal a Dish from your hand. If it has more Taste than an opponent's presented dish that dish gets -3 Taste this turn.,Revelez un plat de votre main. S'il a plus de Gout qu'un plat adverse presente ce plat gagne -3 Gout ce tour-ci.,,Comparison card that benefits from persistent opponent boards.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mine_is_better.png
bon_appetit,Bon Appetit!,Bon appetit!,French,#2F5DA8,2,3,Technique,Draw 1. During judging if one of your dishes has 5 or more Taste gain +2 Favor.,Piochez 1. Au jugement si l'un de vos plats a au moins 5 Gout gagnez +2 Faveur.,,French high-quality payoff.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bon_appetit.png
supersize_me,Supersize Me!,Supersize Me!,American,#C44736,1,5,Technique,During judging copy one of your dishes as an additional presented dish.,Au jugement copiez l'un de vos plats comme plat presente supplementaire.,,Wild excess card.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/supersize_me.png
