id,name_en,name_fr,type,frame_color,effect_en,effect_fr,notes,artwork_url
distraction,Distraction,Distraction,Status,#6C5A7B,No effect. It is still annoying.,Aucun effet. C'est quand meme penible.,Baseline dead status.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/distraction.png
food_coma,Food Coma,Coma alimentaire,Status,#6C5A7B,"While this is in your hand, your first card learned each turn costs 1 more Time.","Tant que cette carte est dans votre main, la premiere carte que vous apprenez chaque tour coute 1 Temps de plus.",Taxing status; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/food_coma.png
yelp_review,Yelp Review,Avis Yelp,Status,#6C5A7B,During judging your highest-Taste dish gets -1 Taste. Then Peel Yelp Review.,Au jugement votre plat avec le plus de Gout gagne -1 Gout. Puis Epluchez Avis Yelp.,Temporary scoring status; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/yelp_review.png
health_inspection,Health Inspection,Inspection sanitaire,Status,#6C5A7B,"During judging if you present 3 or more dishes, lose 1 Favor. Then Peel Health Inspection.","Au jugement si vous presentez au moins 3 plats, perdez 1 Faveur. Puis Epluchez Inspection sanitaire.",Punishes wide meals; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/health_inspection.png
strike,Strike,Greve,Status,#6C5A7B,The first Technique you play each turn costs 1 more Time. Then Peel Strike.,La premiere Technique que vous jouez chaque tour coute 1 Temps de plus. Puis Epluchez Greve.,Tempo status; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/strike.png
shame,Shame,Honte,Status,#6C5A7B,"During judging if you present dishes from 2 or more factions, lose 1 Favor. Then Peel Shame.","Au jugement si vous presentez des plats de 2 factions ou plus, perdez 1 Faveur. Puis Epluchez Honte.",Faction-policing status; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/shame.png
judgment,Judgment,Jugement,Status,#6C5A7B,"When drawn, reveal the top card of your deck. Peel it unless it is Japanese. Then Peel Judgment.","Quand vous piochez cette carte, revelez la carte du dessus de votre deck. Epluchez-la sauf si elle est Japonaise. Puis Epluchez Jugement.",Adapted from website hand-made status. Generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/judgment.png
mangia_mangia_status,Mangia Mangia!,Mangia Mangia !,Status,#6C5A7B,"When drawn, discard all Dish cards from your hand. Then Peel Mangia Mangia!.","Quand vous piochez cette carte, defaussez tous les Plats de votre main. Puis Epluchez Mangia Mangia !.",Adapted from website hand-made status. Generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mangia_mangia_status.png
on_strike,On Strike,En greve,Status,#6C5A7B,"When drawn, your Cook step ends. Then Peel On Strike.","Quand vous piochez cette carte, votre etape Cuisine se termine. Puis Epluchez En greve.",Adapted from website hand-made status. Generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/on_strike.png
we_heard_you_have_oil,We Heard You Have Oil,On a entendu que vous aviez du petrole,Status,#6C5A7B,"When drawn, discard the highest-cost card from your hand. Then Peel We Heard You Have Oil.","Quand vous piochez cette carte, defaussez la carte avec le cout le plus eleve de votre main. Puis Epluchez On a entendu que vous aviez du petrole.",Adapted from website hand-made status. Generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/we_heard_you_have_oil.png
